,unique,outcome_type,description_fi,description_en
10,4Länsirannikon Koulutus Oy WinNovaVientiä ammattiin III ,toimintamalli,"”Tulevaisuus tässä” - avoimet ovet tapahtuma yhteistyössä hankkeessa yhteistyöyritysten kanssa. Tämä on yksi esimerkki toimintamallin tempauksista. Markkinointipäivä ”tulevaisuus tässä” onnistui hyvin ja osallistujina oli mm. opiskelijoita, potentiaalisia tulevia opiskelijoita sekä heidän vanhempiaan.   Seuraava avoimet ovet tapahtuma on tammikuussa 2017. Päivän ohjelma 2016 löytyy lisätiedoista.","“Future here” - an open house event in collaboration with a project with partner companies. This is one example of the capture of the operating model. The marketing day “future here” was a great success and the participants were e.g. students, potential prospective students, and their parents. The next open house event is in January 2017. The program for the day 2016 can be found in the details."
11,4Sastamalan Koulutuskuntayhtymä VIKE3 - Vientiteollisuusalojen koulutuksen kehittäminen,toimintamalli,Tiimiopettajuus,Team teaching
12,4Sastamalan Koulutuskuntayhtymä VIKE3 - Vientiteollisuusalojen koulutuksen kehittäminen,julkaisut-www-sivu-yms,Seminaariesitys ,Seminar presentation
13,4Oulun seudun koulutuskuntayhtymä / Oulun seudun ammattiopistoKUMPPANUUS YTIMENÄ 3. - Ammatillista osaamista vientiteollisuuden tarpeisiin,julkaisut-www-sivu-yms,"Uutiskirje, jossa kerrotaan vientiteollisuudessa toimivien yritysten henkilöstön koulutuksen suunnittelusta.",A newsletter about the planning of personnel training for companies operating in the export industry.
14,4Oulun seudun koulutuskuntayhtymä / Oulun seudun ammattiopistoKUMPPANUUS YTIMENÄ 3. - Ammatillista osaamista vientiteollisuuden tarpeisiin,julkaisut-www-sivu-yms,"Kone- ja metallialan tutkintojen esittelyvideot. Levyseppähitsaaja, koneistaja ja kunnossapitoasentaja.","Introductory videos for degrees in the machine and metal industry. Sheet metal welder, machinist and maintenance installer."
15,4Oulun seudun koulutuskuntayhtymä / Oulun seudun ammattiopistoKUMPPANUUS YTIMENÄ 3. - Ammatillista osaamista vientiteollisuuden tarpeisiin,muu-tuotos,"Kumppanuus ytimenä- hanketta kuvaava roll up, jossa mainuttu yhteistyökumppanit. Tampereen verkostoseminaaria varten tehtiin posteri Kumppanuus ytimenä, jota jaettiin tapahtumassa hankekumppaneille ja ohjausryhmän jäsenille.","Partnership at the core of the project describing the roll up, with the mentioned partners. A poster Partnership as the core was made for the Tampere network seminar, which was distributed at the event to project partners and members of the steering group."
16,4Oulun seudun koulutuskuntayhtymä / Oulun seudun ammattiopistoKUMPPANUUS YTIMENÄ 3. - Ammatillista osaamista vientiteollisuuden tarpeisiin,julkaisut-www-sivu-yms,Turvallisuusosaaminen vahvaksi jo opintojen alkuvaiheeksi.,Safety expertise as a strong early stage of studies.
17,4Oulun seudun koulutuskuntayhtymä / Oulun seudun ammattiopistoKUMPPANUUS YTIMENÄ 3. - Ammatillista osaamista vientiteollisuuden tarpeisiin,raportti,Hankkeen loppuraportti.,Final project report.
18,"4Tampereen kaupunki/ Tampereen seudun ammattiopisto, TreduViete III",toimintamalli,"Pakkausteollisuuden taituri-polkuTaituri-ohjelma on pirkanmaalaisten ammattioppilaitosten prosessitekniikan ja media-alan opiskelijoille tarkoitettu koulutusohjelma, jonka tavoitteena on perehdyttää opiskelijat DS Smith:in tuotantoprosesseihin. Koulutusohjelma on 1-2 vuoden mittainen, riippuen kunkin taiturin yksilöllisestä opintopolusta. Ohjelma sisältää ammattioppilaitoksessa räätälöidyn koulutuksen lisäksi koulutuspäiviä DS Smithillä.Kouluttaminen tapahtuu osaman ammatillisen peruskoulutuksen työssäoppimisjaksoja ja työharjoittelua (kesätyö). Työssäoppimisjaksot ovat palkattomia, mutta työharjoittelujaksoilla opiskelijat ovat määräaikaisessa työsuhteessa, jonka ajalta maksetaan TES:n mukaista harjoittelijan palkkaa. Ohjelma voidaan suorittaa myös oppisopimuskoulutuksena, jossa solmitaan määräaikainen työsuhde.Mahdollisuuksien mukaan koulutusohjelman jälkeen yritys työllistöö uusia osaajia vakituiseen työsuhteeseen DS Smith:in tuotantotehtäviin.","The Taituri-path of the packaging industryTaituri program is a training program for students of process technology and media in vocational schools in Pirkanmaa, the aim of which is to acquaint students with DS Smith&#39;s production processes. The degree program is 1-2 years long, depending on the individual study path of each artist. In addition to the tailor-made training at the vocational school, the program includes training days at DS Smith. On-the-job training periods are unpaid, but during internships, students have a fixed-term employment relationship, during which the trainee&#39;s salary is paid in accordance with the TES. The program can also be completed as an apprenticeship with a fixed-term employment relationship. If possible, after the training program, the company will employ new professionals on a permanent basis for DS Smith’s production positions."
19,"4Tampereen kaupunki/ Tampereen seudun ammattiopisto, TreduViete III",toimintamalli,"Projektioppiminen yli tutkintoalojen - CleantechTyöelämässä korostuu tänä päivänä entisestään moniosaajuus sekä yhteistyö- ja projektitaidot yhdistettynä toimintaympäristön muutoksiin. On tultava pois omalta mukavuusalueelta oppiakseen uutta.Kokeilussa olemme rikkoneet perinteisen konseptin ja soveltaneet yhteisopettajuutta, projekti- ja vertaisoppimista yli tutkintorajojen. Oppiminen ei ole aikaan ja paikkaan sidottua.Näin syntyi Cleantech -tutkinnon osa, johon osallistuu opiskelijoita ja opettajia niin sähkön-, prosessin-, kone- ja metallitekniikan kuin logistiikankin aloilta. Lähipäivinä kierretään eri toimipisteissä ja yrityksissä. Tavoitteena on tutustua Cleantech -yrityksiin. Projektityönä opiskelijat rakentavat uusiutuvalla aurinkoenergialla toimivan juomavettä tuottavan laitteiston oppilaitoksen resursseilla. Projektin tuotosta tarkastellaan lisäksi kaupallisesta näkökulmasta ja jatkokehitystä silmällä pitäen. Tuotosta voidaan hyödyntää myös liikkuvana oppimisympäristönä.","Project learning across degree areas - Cleantech In working life today, the emphasis is even more on multi-skills and collaboration and project skills combined with changes in the operating environment. You have to come out of your comfort zone to learn something new. In the experiment, we have broken the traditional concept and applied co-teaching, project and peer learning across degree boundaries. Learning is not tied to time and place. This is how the Cleantech degree was created, which involves students and teachers in the fields of electrical, process, mechanical and metal engineering as well as logistics. In the coming days, we will tour various offices and companies. The aim is to get to know Cleantech companies. As project work, the students build drinking water production equipment running on renewable energy with the resources of the educational institution. The output of the project will also be examined from a commercial perspective and with a view to further development. The output can also be used as a mobile learning environment."
20,"4Tampereen kaupunki/ Tampereen seudun ammattiopisto, TreduViete III",toimintamalli,"Opettajan täsmä –yritysjakso.Luotiin toimintamalli, jossa opettaja voi toteuttaa lyhyen viikon yritysjakson yrityksessä. Täsmä -yritysjakson tavoitteena on päivittää opettajan työelämä osaamista/kehittää opetusta, suunnitella työssäoppijalle sopivia työtehtäviä kys. yrityksessä sekä suunnitella tutkinnon perusteiden mukainen ammattiosaamisen näyttö yritykseen. Täsmä –yritysjakso voidaan toteuttaa viikon pätkässä tai viitenä yksittäisenä päivänä työelämässä. Jaksosta tehdään raportti ja kokemukseja/oppeja jaetaan omassa tiimissä.","Teacher Exact Business Period. An operating model was created in which a teacher can implement a short week business period in a company. The aim of the Täsmä business period is to update the teacher&#39;s working life skills / develop teaching, plan suitable work assignments for the on-the-job learner in the company in question and design a display of professional competence in the company according to the degree criteria. The Exact company period can be implemented in a week or five individual days in working life. The session is reported and experiences / lessons are shared in our own team."
21,4Ylä-Savon koulutuskuntayhtymä Sujuva polku töihin – Yrityslähtöistä metallioppia ,julkaisut-www-sivu-yms,"Ylä-Savon ammattiopiston hankkeen kuvaus, sekä yhteistyötahot. ","Description of the Ylä-Savo Vocational College project, as well as partners."
22,4Ylä-Savon koulutuskuntayhtymä Sujuva polku töihin – Yrityslähtöistä metallioppia ,toimintamalli,"OhjausmallitOpiskelijan henkilökohtaisen opintopolun ohjaamisessa ja suunnittelussa käytetään apuna työpistemäärityksissä tehtyjä työpistekuvauksia, työpisteisiin määriteltyjä tyypillisiä töitä, Wilman ”henkilökohtaistamislomaketta” sekä työssäoppimispäiväkirjaa. Opintojen seurantalomake työpisteisiin ja työtehtäviin yrityksissä. Opiskelijat täyttävät taulukkoa käydessään yrityksen työpisteellä.Taulukko jossa verrataan ammattitaitovaatimuksia työpisteen töihin. Seurataan opiskelijan opintojen etenemistä.","Supervision models The student&#39;s personal study path is guided and planned using the workstation descriptions made in the workstation definitions, the typical work defined for the workstations, Wilma&#39;s “personalization form” and the on-the-job learning diary. Study follow-up form for workstations and work assignments in companies. Students complete the table when visiting a company workstation. A table comparing professional skills requirements to workstation jobs. Monitoring the progress of the student&#39;s studies."
23,4Ylä-Savon koulutuskuntayhtymä Sujuva polku töihin – Yrityslähtöistä metallioppia ,raportti,Loppuraportti ,Final report
24,4Ylä-Savon koulutuskuntayhtymä Sujuva polku töihin – Yrityslähtöistä metallioppia ,raportti,"Hankkeeseen liittyen on tehty opinnäytetyö Kone- ja tuotantotekniikan insinööriopintoihin nimeltään Työelämälähtöinen koulutusmalli koneistajan perustutkintoon. Tekijänä Jarkko Ruotsalainen, opinnäytetyö on toteutettu omalla ajalla.","In connection with the project, a thesis has been done for mechanical engineering studies in Mechanical and Production Engineering called the Working Life-Based Education Model for the Bachelor&#39;s Degree in Machining. Author Jarkko Ruotsalainen, the thesis has been completed in his own time."
25,4Svenska Österbottens förbund för utbildning och kultur / Yrkesakademin Energiakademin PRO,toimintamalli,Årligen återkommande Kunskapsmöten mellan utbildare och företag. Inom dessa får lärarna kunskap om företagens behov och önskemål gentemot yrkesutbildarna. Företagen får i sin tur kunskap om yrkesutbildningen och dess framtida utveckling. Inom ramen för kunskapsmötena ökas branschkännedomen för båda parter och samarbetet stärks. I mötenas natur ligger att de är fria och informella till sin natur som underlättar ett fritt och flexibelt utbyte av idéer och erfarenheter.,"Annually Recurring Knowledge Meetings between educators and companies. Within these, the teachers gain knowledge about the companies&#39; needs and wishes towards the vocational educators. The companies in turn gain knowledge about vocational training and its future development. Within the framework of the knowledge meetings, industry awareness is increased for both parties and cooperation is strengthened. It is in the nature of the meetings that they are free and informal in nature, which facilitates a free and flexible exchange of ideas and experiences."
26,4Svenska Österbottens förbund för utbildning och kultur / Yrkesakademin Energiakademin PRO,julkaisut-www-sivu-yms,"Webb -portal för att öka kännedom om energiteknik, energifrågor och hållbar utveckling.","Web portal to increase awareness of energy technology, energy issues and sustainable development."
27,4Optima samkommunOpti Xport,muu-tuotos,Kort information om Gröna kortet light,Brief information about Green card light
28,4Optima samkommunOpti Xport,muu-tuotos,Kort beskrivning av CNC-validering,Brief description of CNC validation
29,4Kemi- Tornionlaakson koulutuskuntayhtymä LappiaVIME,muu-tuotos,Hankkeesta on tehty esitteitä joita on jaettu mm. paikallisella messuilla ja hankkeeseen liittyvällä seminaarilla.,"Brochures have been made about the project, which have been distributed e.g. at a local fair and project-related seminar."
30,4Kemi- Tornionlaakson koulutuskuntayhtymä LappiaVIME,toimintamalli,Moniosaajien osalta toimintamalli on pilotoitu ja toimintaa tullaan jatkamaan. ,"For multi-experts, the operating model has been piloted and operations will be continued."
31,4Koulutuskuntayhtymä TavastiaSatelliittikoulut,julkaisut-www-sivu-yms,Loppuseminaarin hanketorin esittelyiden koostesivu,Summary page of the final seminar project market presentations
32,4Koulutuskuntayhtymä TavastiaSatelliittikoulut,julkaisut-www-sivu-yms,Tavastian osuuden Prezi-esitys,Prezi performance of Tavastia&#39;s part
33,11Tampereen ammattikorkeakoulu OyHanskaatko – kohti parempia opiskelija- ja opettajakokemuksia,0,"Kehittämistehtävä lokikirjat. Koulutuksen aikana osallistujat työstivät henkilökohtaisen lokikirjan oman opettajuuden kehittämisen tueksi. Lokikirjat oli toteutettu monilla tavoin, blogeina, prezi-tai Powerpoint esityksinä tai sitten ihan perinteisinä raportteina. Lokikirjoissa osallistujat kuvasivat oman prosessinsa ja esittivät ja jakoivat sen sitten muille. Lokikirjan aineisto karttui olähipäivistä ja siellä esiin nousseista asioistaoomasta uudenlaisen toiminnan kokeilusta ja tämän raportoinnista (oma kehittymistavoite) ovalitun opettajan varjostamisesta tai opettajan/nuoren haastattelustao tutustumisesta ajankohtaiseen tutkimukseen ja selvityksiin ja erilaisiin ilmiöihin, joihin työskentelyn pohjaa ja tämän raportoinnistaTuotos jäi osallistujan henkilökohtaiseen käyttöön, jota voi myös hyödyntää organisaation sisällä. Tämän myös monet toivat esille; lokikirjoissa nousi monia teemoja ja asioita, jotka he kertoivat ottavansa heti esille ja työnalle myös omissa organisaatioissa.   Koulutukseen osallistujat olivat sitoutuneita yhteiseen työskentelyyn, joskin kehittämistehtävien työstämiseen ei ollut kaikilla aikaa oppilaitosten muutosmyllerrysten keskellä. Tämä oli sääli, koska kehittämistehtävät olivat todella hienoja ja laadukkaita ja koska osa koulutukseen osallistujista ei noita kehittämistehtäviä palauttanut, eivät he myöskään osallistuneet teematreffi päiviin, jolloin myös töiden anti muille jäi saamatta. Joskin tekijöiden luvalla töitä jaettiin sähköpostin kautta muillekin osallistujille jossain ryhmässä. Palautteen perusteella lokikirjatyösntelyä pidettiin erittäin hyvänä ja antoisana pedagogisena oman toiminnan kehittämisen menetelmänä. ","Development task logbooks. During the training, participants worked on a personal logbook to support the development of their own teaching. The logbooks had been implemented in many ways, as blogs, prezi or Powerpoint presentations, or as traditional reports. In the logbooks, participants described their own process and then presented and shared it with others. The material in the logbook was gathered from the next few days and the issues raised there about experimenting with new activities and reporting on them (one&#39;s own development goal), shading an oval teacher or interviewing utilize within the organization. This was also raised by many; many themes and issues emerged in the logbooks, which they said they would immediately bring up and work in their own organizations as well. Participants in the training were committed to working together, although working on development tasks was not always in the midst of the turmoil of change in educational institutions. This was a shame, because the development tasks were really nice and of high quality, and because some of the participants did not return those development tasks, they also did not participate in the theme date, when the work was not given to others. Although, with the permission of the authors, the works were distributed via email to other participants in some group. Based on the feedback, logbook work was considered a very good and rewarding pedagogical method for developing one&#39;s own activities."
34,11Tampereen ammattikorkeakoulu OyHanskaatko – kohti parempia opiskelija- ja opettajakokemuksia,0,"Teematreffit. Teematreffeille osallistumista kannustettiin ja koulutuksen osallitujat olivat sitä mieltä, että idea on hieno ja tässä on mahdollisuus tuoda myös kollegoita kuulemaan ja jakamaan kehittämisajatuksia.  Valitettavasti tämä ei siis toteutunut niin laajasti kuin oli ajateltu mutta ne, jotka osallistuivat, kokivat saavansa niistä paljon. Teematreffit oli siis avoin myös osallistujien työyhteisöjen jäsenille ajatuksena, että saataisiin keskustelua syntymään työyhteisöissä, jotta kohtaamisosaamista voidaan edelleen edistää myös koulutuksen jälkeen. Vaikka ajatuksesta innostuttiin, tähän ei kuitenkaan konkretian tasolla lähdetty mukaan. Sen sijaan osallistujien kesken ajatuksia ja näkemyksiä vaihdettiin syvällisesti teematreffien aikana ja tuotoksia jaettiin avoimesti osallistujien välillä. Myös verkostojen laajenemista pidettiin tärkeänä. Etelä-Pohjanmaalla toivottiin facebook ryhmän perustamista jakamisen välineeksi ja keskustelun jatkamisen tueksi. Tällainen luotiin hankkeen toimesta mutta keskustelu siellä oli lopulta aika vähäistä.","Theme dates. Participation in the theme dates was encouraged and the participants in the training thought that the idea is great and here is an opportunity to bring colleagues to hear and share development ideas as well. Unfortunately, this did not materialize as widely as had been thought, but those who participated felt they would benefit a lot from them. Thus, the thematic dates were also open to members of the participants&#39; work communities, with the idea of creating a discussion in the work communities, so that meeting skills could be further promoted even after the training. Although the idea was inspired, this was not taken into account at the concrete level. Instead, ideas and views were deeply exchanged among the participants during the theme dates and the outputs were openly shared among the participants. The expansion of networks was also considered important. In Southern Ostrobothnia, it was hoped that a Facebook group would be established as a sharing tool and to support the continuation of the discussion. Such was created by the project but the discussion there was ultimately quite limited."
35,11Tampereen ammattikorkeakoulu OyHanskaatko – kohti parempia opiskelija- ja opettajakokemuksia,0,TAMKin ammatillisen opettajan koulutuksen kehittämistöitä on Hanskaatko -hankkeen teemojen ympärillä tekellä 3 kpl erilaisista näkökulmista. Tekijät olivat mukana hankeen koulutuspäivissä ja yksi tekijä keräsi kyselyaineistoa hankkeen koulutuksen osallistujilta opettajan jaksamiseen ja hyvinvointiin liittyvistä teemoista. Yksi työ käsittelee kohtaamisten toteutumista verkkototeutuksissa. Nämä valmistuvat kevään 2018 aikana. Projektipäällikkö on ollut mukana ideoimassa ja tukemassa kehittämistöiden etenemistä. ,TAMK&#39;s vocational teacher education development work is being done around the themes of the Hanskaatko project from 3 different perspectives. The authors were involved in the project training days and one author collected questionnaires from project training participants on themes related to teacher resilience and well-being. One work deals with the realization of encounters in online implementations. These will be completed during the spring of 2018. The project manager has been involved in brainstorming and supporting the progress of development work.
36,11Turun yliopistoOsaamisperusteisuus ja yrittäjyyskasvatus ammatillisessa koulutuksessa,0,"Osaamisperusteisuus ja yrittäjyyskasvatus ammatillisessa koulutuksessa -henkilöstökoulutus.Projektin tuotoksena on kehittää ja toteuttaa opetustoimen henkilöstökoulutus aiheella ”Osaamisperusteisuus ja yrittäjyyskasvatus ammatillisessa koulutuksessa” vuosina 2016–2017. Henkilöstökoulutuksen tavoitteena on tukea osaamisperusteisuutta ja ammatillisen koulutuksen kehittämistä yrittäjyyden avulla. Koulutuksen jälkeen opettaja kykenee uudistamaan ja kehittämään opetustoimintaansa kiinteässä vuorovaikutuksessa elinkeinoelämän ja koulutussektorien rajat ylittävien verkostojen kanssa.Koulutus toteutetaan monimuoto-opetuksena ja verkkokoulutuksena, yhteistyössä Turun yliopiston Brahea-keskuksen ja Valtakunnallisen YES ry:n kanssa. Koulutuksen viitekehyksenä ovat yrittäjyyskasvattajan taitoalueet, joista koulutuksen sisällöt ja toteutus on johdettu. Temaattiset alueet ovat pedagogiikka, yrittäjyyskasvatuksen filosofia, strateginen ja operationaalinen osaaminen, verkostoitumistaidot, prosessiosaaminen ja resurssien hankinta. Malli tukee oppilaitoksen toiminnan kehittämistä.Koulutukseen kuuluu neljä opetusmoduulia, joista kukin on laajuudeltaan 2 op. Moduuliin sisältyy yksi lähijakso, reflektointia kummiyrittäjän kanssa ja etätyöskentelyä verkko-oppimisympäristössä. Lähijakso voi olla opetuspäivä tai vaihtoehtoisesti yritysvierailu tai yrittäjävarjostus ja siihen liittyvät tehtävät.","Competence-based and entrepreneurship education in vocational education and training. The aim of staff training is to support knowledge-basedness and the development of vocational training through entrepreneurship. After the training, the teacher is able to renew and develop his / her teaching activities in close interaction with cross-border networks of business and the education sectors. The reference framework for the training is the skills areas of the entrepreneurship educator, from which the contents and implementation of the training have been derived. The thematic areas are pedagogy, philosophy of entrepreneurship education, strategic and operational competence, networking skills, process competence and resource acquisition. The model supports the development of the institution&#39;s activities. The training includes four teaching modules, each of which has a scope of 2 cr. The module includes one short course, reflection with a sponsor entrepreneur and teleworking in an e-learning environment. The short term can be a teaching day or alternatively a company visit or entrepreneurial shading and related tasks."
37,11Turun yliopistoOsaamisperusteisuus ja yrittäjyyskasvatus ammatillisessa koulutuksessa,0,"YES Kummivarjostus. Hankkeessa luotiin kolmannen moduulin lähijaksoa varten YES Kummivarjostusmalli, jossa opettaja seuraa yhden päivän ajan yrittäjää tai muuta työelämän edustajaa. YES Kummivarjostusmallin tavoitteena on antaa henkilökohtainen osallistava kokemus yrittäjän arjesta. Osallistuja tarkastelee yrittäjän toimintaa nelikentän kautta (Yrittäjämäinen asenne ja toimintatapa = omaehtoinen yrittäjyys, Toiminta tiimissä ja ryhmässä työntekijänä = sisäinen yrittäjyys, Yhteistyö ja verkostot, Liiketoiminta-osaaminen = ulkoinen yrittäjyys). Osallistuja tekee varjostuksesta vapaamuotoisen tuotoksen, jossa hän pohtii oppimaansa sekä sitä miten opittua voisi hyödyntää omassa opetuksessa.YES Kummit ovat olleet koko koulutushankkeen ajan opettajien käytettävissä. Erityisesti moduuli 3. osallistuvia opettajia kannustettiin käyttämään YES Kummeja yrittäjävarjostehtävässä. Kummivarjostukseen osallistui yhteensä 38 eri alojen yrittäjää. Yrittäjien alat valikoituivat osallistuvien opettajien ammattialojen mukaan. YES Kummit ovat myös osallistuneet ope-yrittäjätreffeille. ","YES Rubber shading. For the short term of the third module, the project created the YES God Shading Model, in which the teacher follows an entrepreneur or other representative of working life for one day. YES The goal of the sponsor shading model is to provide a personal, participatory experience of an entrepreneur’s daily life. The participant looks at the entrepreneur&#39;s activities through four fields (Entrepreneurial attitude and way of working = self-employment, Team and group activities as an employee = internal entrepreneurship, Cooperation and networks, Business competence = external entrepreneurship). The participant makes a free-form output of the shading, in which he or she reflects on what he or she has learned and how it could be used in his or her own teaching. In particular, teachers participating in Module 3 were encouraged to use YES Godparents in the entrepreneurial shadow task. A total of 38 entrepreneurs from different fields participated in the sponsorship. The fields of entrepreneurs were selected according to the professions of the participating teachers. YES The sponsors have also participated in ope-entrepreneur dates."
